entries,implementation,reachable_words,allocated_words,time(ns)
220000,irmin,1244321,3431320.000000,287
221000,irmin,1244321,3431320.000000,269
222000,irmin,1244321,3431320.000000,269
223000,irmin,1244321,3431320.000000,273
224000,irmin,1244321,3431320.000000,269
225000,irmin,1244321,3431320.000000,263
226000,irmin,1244321,3431320.000000,275
227000,irmin,1244321,3431320.000000,279
228000,irmin,1244321,3431320.000000,269
229000,irmin,1244321,3431320.000000,274
230000,irmin,1244321,3431320.000000,285
231000,irmin,1244321,3431329.000000,304
232000,irmin,1244321,3431329.000000,283
233000,irmin,1244321,3431329.000000,314
234000,irmin,1244321,3431329.000000,278
235000,irmin,1244321,3431329.000000,275
236000,irmin,1244321,3431329.000000,292
237000,irmin,1244321,3431329.000000,318
238000,irmin,1244321,3431329.000000,307
239000,irmin,1244321,3431329.000000,302
240000,irmin,1244321,3431329.000000,301
241000,irmin,1244321,3431329.000000,322
242000,irmin,1244321,3431329.000000,308
243000,irmin,1244321,3431329.000000,298
244000,irmin,1244321,3431329.000000,319
245000,irmin,1244321,3431329.000000,315
246000,irmin,1244321,3431329.000000,314
247000,irmin,1244321,3693464.000000,324
248000,irmin,1244321,3693464.000000,334
249000,irmin,1244321,3693464.000000,336
250000,irmin,1244321,3693464.000000,335
251000,irmin,1244321,3693464.000000,345
252000,irmin,1244321,3693464.000000,343
253000,irmin,1244321,3693464.000000,360
254000,irmin,1244321,3693464.000000,379
255000,irmin,1244321,3693464.000000,380
256000,irmin,1244321,3693464.000000,369
257000,irmin,1244321,3693464.000000,389
258000,irmin,1244321,3693464.000000,397
259000,irmin,1244321,3693464.000000,397
260000,irmin,1244321,3693464.000000,423
261000,irmin,1244321,3693464.000000,411
262000,irmin,1244321,3693464.000000,424
263000,irmin,1244321,3693473.000000,446
264000,irmin,1244321,3693473.000000,457
265000,irmin,1244321,3693473.000000,467
266000,irmin,1244321,3693473.000000,453
267000,irmin,1244321,3693473.000000,496
268000,irmin,1244321,3693473.000000,509
269000,irmin,1244321,3693473.000000,512
270000,irmin,1244321,3693473.000000,547
271000,irmin,1244321,3693473.000000,546
272000,irmin,1244321,3693473.000000,608
273000,irmin,1244321,3693473.000000,624
274000,irmin,1244321,3693473.000000,597
275000,irmin,1244321,3693473.000000,636
276000,irmin,1244321,3693473.000000,719
277000,irmin,1244321,3693473.000000,675
278000,irmin,1244321,3693473.000000,734
279000,irmin,1244321,3955608.000000,783
280000,irmin,1866465,4752010.000000,28343
281000,irmin,1866465,4752010.000000,249
282000,irmin,1866465,4752010.000000,252
283000,irmin,1866465,4752010.000000,250
284000,irmin,1866465,4752010.000000,251
285000,irmin,1866465,4752010.000000,249
286000,irmin,1866465,4752010.000000,250
287000,irmin,1866465,4752010.000000,253
288000,irmin,1866465,4752010.000000,257
289000,irmin,1866465,4752010.000000,248
290000,irmin,1866465,4752010.000000,251
291000,irmin,1866465,4752010.000000,248
292000,irmin,1866465,4752010.000000,256
293000,irmin,1866465,4752010.000000,256
294000,irmin,1866465,4752010.000000,255
295000,irmin,1866465,4752010.000000,262
296000,irmin,1866465,4752010.000000,259
297000,irmin,1866465,4752010.000000,256
298000,irmin,1866465,4752010.000000,262
299000,irmin,1866465,4752010.000000,261
300000,irmin,1866465,4752010.000000,259
1000,stdlib,10518,217027.000000,1706
2000,stdlib,21030,217027.000000,179
3000,stdlib,32054,217027.000000,202
4000,stdlib,42054,217027.000000,172
5000,stdlib,54102,217027.000000,248
6000,stdlib,64102,217027.000000,151
7000,stdlib,74102,217027.000000,152
8000,stdlib,84102,217027.000000,159
9000,stdlib,98198,217027.000000,351
10000,stdlib,108198,217027.000000,153
11000,stdlib,118198,217027.000000,162
12000,stdlib,128198,217027.000000,153
13000,stdlib,138198,248781.000000,154
14000,stdlib,148198,248781.000000,155
15000,stdlib,158198,248781.000000,151
16000,stdlib,168198,248781.000000,154
17000,stdlib,186390,252310.000000,1546
18000,stdlib,196390,252310.000000,165
19000,stdlib,206390,252310.000000,163
20000,stdlib,216390,252310.000000,163
21000,stdlib,226390,252310.000000,163
22000,stdlib,236390,252310.000000,163
23000,stdlib,246390,252310.000000,175
24000,stdlib,256390,252310.000000,165
25000,stdlib,266390,252310.000000,164
26000,stdlib,276390,252310.000000,165
27000,stdlib,286390,252310.000000,170
28000,stdlib,296390,252310.000000,173
29000,stdlib,306390,252310.000000,161
30000,stdlib,316390,448945.000000,170
31000,stdlib,326390,448945.000000,156
32000,stdlib,336390,448945.000000,155
33000,stdlib,362774,680760.000000,2540
34000,stdlib,372774,680760.000000,174
35000,stdlib,382774,680760.000000,173
36000,stdlib,392774,680760.000000,163
37000,stdlib,402774,680760.000000,164
38000,stdlib,412774,680760.000000,163
39000,stdlib,422774,680760.000000,164
40000,stdlib,432774,680760.000000,170
41000,stdlib,442774,680760.000000,169
42000,stdlib,452774,680760.000000,168
43000,stdlib,462774,680760.000000,178
44000,stdlib,472774,680760.000000,165
45000,stdlib,482774,680760.000000,179
46000,stdlib,492774,680760.000000,225
47000,stdlib,502774,680760.000000,173
48000,stdlib,512774,680760.000000,176
49000,stdlib,522774,680760.000000,168
50000,stdlib,532774,680760.000000,176
51000,stdlib,542774,680760.000000,176
52000,stdlib,552774,680760.000000,170
53000,stdlib,562774,680760.000000,168
54000,stdlib,572774,680760.000000,169
55000,stdlib,582774,680760.000000,170
56000,stdlib,592774,680760.000000,181
57000,stdlib,602774,680760.000000,172
58000,stdlib,612774,680760.000000,171
59000,stdlib,622774,684716.000000,1449
60000,stdlib,632774,684716.000000,176
61000,stdlib,642774,684716.000000,187
62000,stdlib,652774,684716.000000,174
63000,stdlib,662774,684716.000000,180
64000,stdlib,672774,684716.000000,182
65000,stdlib,682774,684716.000000,185
66000,stdlib,725542,1144542.000000,5631
67000,stdlib,735542,1144542.000000,201
68000,stdlib,745542,1144542.000000,196
69000,stdlib,755542,1144542.000000,194
70000,stdlib,765542,1144542.000000,204
71000,stdlib,775542,1144542.000000,194
72000,stdlib,785542,1144542.000000,221
73000,stdlib,795542,1144542.000000,200
74000,stdlib,805542,1144542.000000,214
75000,stdlib,815542,1144542.000000,204
76000,stdlib,825542,1144542.000000,212
77000,stdlib,835542,1144542.000000,229
78000,stdlib,845542,1144542.000000,222
79000,stdlib,855542,1144542.000000,201
80000,stdlib,865542,1144542.000000,197
81000,stdlib,875542,1144542.000000,199
82000,stdlib,885542,1144542.000000,195
83000,stdlib,895542,1144542.000000,201
84000,stdlib,905542,1144542.000000,247
85000,stdlib,915542,1144542.000000,206
86000,stdlib,925542,1144542.000000,202
87000,stdlib,935542,1144542.000000,235
88000,stdlib,945542,1144542.000000,206
89000,stdlib,955542,1144542.000000,214
90000,stdlib,965542,1144542.000000,206
91000,stdlib,975542,1144542.000000,201
92000,stdlib,985542,1148498.000000,1565
93000,stdlib,995542,1148498.000000,204
94000,stdlib,1005542,1148498.000000,206
95000,stdlib,1015542,1148498.000000,204
96000,stdlib,1025542,1148498.000000,208
97000,stdlib,1035542,1148498.000000,220
98000,stdlib,1045542,1148498.000000,213
99000,stdlib,1055542,1148498.000000,237
100000,stdlib,1065542,1148498.000000,237
101000,stdlib,1075542,1148498.000000,217
102000,stdlib,1085542,1148498.000000,256
103000,stdlib,1095542,1148498.000000,240
104000,stdlib,1105542,1148498.000000,224
105000,stdlib,1115542,1406681.000000,634
106000,stdlib,1125542,1406681.000000,224
107000,stdlib,1135542,1406681.000000,233
108000,stdlib,1145542,1406681.000000,235
109000,stdlib,1155542,1406681.000000,225
110000,stdlib,1165542,1406681.000000,231
111000,stdlib,1175542,1406681.000000,225
112000,stdlib,1185542,1406681.000000,264
113000,stdlib,1195542,1406681.000000,224
114000,stdlib,1205542,1406681.000000,239
115000,stdlib,1215542,1406681.000000,229
116000,stdlib,1225542,1406681.000000,225
117000,stdlib,1235542,1406681.000000,239
118000,stdlib,1245542,1410630.000000,1611
119000,stdlib,1255542,1410630.000000,218
120000,stdlib,1265542,1410630.000000,234
121000,stdlib,1275542,1410630.000000,233
122000,stdlib,1285542,1410630.000000,227
123000,stdlib,1295542,1410630.000000,234
124000,stdlib,1305542,1410630.000000,240
125000,stdlib,1315542,1410630.000000,242
126000,stdlib,1325542,1410630.000000,259
127000,stdlib,1335542,1410630.000000,264
128000,stdlib,1345542,1410630.000000,234
129000,stdlib,1355542,1410630.000000,236
130000,stdlib,1365542,1410630.000000,238
131000,stdlib,1375542,1670796.000000,2340
132000,stdlib,1451078,2062041.000000,7737
133000,stdlib,1461078,2062041.000000,247
134000,stdlib,1471078,2062041.000000,253
135000,stdlib,1481078,2062041.000000,239
136000,stdlib,1491078,2062041.000000,256
137000,stdlib,1501078,2062041.000000,257
138000,stdlib,1511078,2062041.000000,253
139000,stdlib,1521078,2062041.000000,245
140000,stdlib,1531078,2062041.000000,260
141000,stdlib,1541078,2062041.000000,270
142000,stdlib,1551078,2062041.000000,263
143000,stdlib,1561078,2062041.000000,253
144000,stdlib,1571078,2062041.000000,283
145000,stdlib,1581078,2062041.000000,255
146000,stdlib,1591078,2062041.000000,246
147000,stdlib,1601078,2062041.000000,264
148000,stdlib,1611078,2062041.000000,263
149000,stdlib,1621078,2062041.000000,247
150000,stdlib,1631078,2062041.000000,256
151000,stdlib,1641078,2062041.000000,264
152000,stdlib,1651078,2062041.000000,272
153000,stdlib,1661078,2062041.000000,266
154000,stdlib,1671078,2062041.000000,266
155000,stdlib,1681078,2062041.000000,255
156000,stdlib,1691078,2065850.000000,1978
157000,stdlib,1701078,2065850.000000,266
158000,stdlib,1711078,2065850.000000,268
159000,stdlib,1721078,2065850.000000,275
160000,stdlib,1731078,2065850.000000,259
161000,stdlib,1741078,2065850.000000,309
162000,stdlib,1751078,2065850.000000,265
163000,stdlib,1761078,2065850.000000,277
164000,stdlib,1771078,2065850.000000,282
165000,stdlib,1781078,2065850.000000,253
166000,stdlib,1791078,2065850.000000,256
167000,stdlib,1801078,2065850.000000,265
168000,stdlib,1811078,2065850.000000,281
169000,stdlib,1821078,2326156.000000,3380
170000,stdlib,1831078,2326156.000000,286
171000,stdlib,1841078,2326156.000000,259
172000,stdlib,1851078,2326156.000000,269
173000,stdlib,1861078,2326156.000000,284
174000,stdlib,1871078,2326156.000000,251
175000,stdlib,1881078,2326156.000000,306
176000,stdlib,1891078,2326156.000000,261
177000,stdlib,1901078,2326156.000000,258
178000,stdlib,1911078,2326156.000000,261
179000,stdlib,1921078,2326156.000000,262
180000,stdlib,1931078,2326156.000000,253
181000,stdlib,1941078,2326156.000000,261
182000,stdlib,1951078,2455253.000000,634
183000,stdlib,1961078,2455253.000000,275
184000,stdlib,1971078,2455253.000000,265
185000,stdlib,1981078,2455253.000000,273
186000,stdlib,1991078,2455253.000000,276
